OBJECTID,DISTRICT,COUNTY,PWSID,SYSNAME,SYS_STATUS,FAC_ID,WTP_ID,WTPNAME,SAMP_PT_ID,SAMP_TYPE,SAMP_LAB_ID,SAMP_DATE,ANALYTE_CD,ANALYTE,LESSTHANDETECT,SAMPLE_RESULT,UNIT,ACTIONLEVEL
12962572,NWDO,ASHLAND,OH0334612   ,ASHLAND CO WEST HOLMES CAREER CENTER,A,352741,1496,ASHLAND CO WEST HOLMES,EP001       ,RT,PFL-35532412002,2020/02/19,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 23.6,,21 ppt
12962573,NWDO,ASHLAND,OH0334612   ,ASHLAND CO WEST HOLMES CAREER CENTER,A,352741,1496,ASHLAND CO WEST HOLMES,EP001       ,RT,PFL-35532412002,2020/02/19,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 4.7,,70 ppt
12962574,NWDO,ASHLAND,OH0334612   ,ASHLAND CO WEST HOLMES CAREER CENTER,A,352741,1496,ASHLAND CO WEST HOLMES,EP001       ,RT,PFL-35532412002,2020/02/19,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 4.7,,70 ppt
12962575,NWDO,ASHLAND,OH0334612   ,ASHLAND CO WEST HOLMES CAREER CENTER,A,352741,1496,ASHLAND CO WEST HOLMES,EP001       ,RT,PFL-35532412002,2020/02/19,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 4.7,,21 ppt
12962576,NWDO,ASHLAND,OH0334612   ,ASHLAND CO WEST HOLMES CAREER CENTER,A,352741,1496,ASHLAND CO WEST HOLMES,EP001       ,RT,PFL-35532412002,2020/02/19,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 4.7,,140 ppt
12962577,NWDO,ASHLAND,OH0334612   ,ASHLAND CO WEST HOLMES CAREER CENTER,A,352741,1496,ASHLAND CO WEST HOLMES,EP001       ,RT,PFL-35532412002,2020/02/19,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 4.7,,"2,100 ppt"
12962578,NWDO,ASHLAND,OH0334612   ,ASHLAND CO WEST HOLMES CAREER CENTER,A,352741,1496,ASHLAND CO WEST HOLMES,GWR001      ,RT,PFL-35532412003,2020/02/19,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 23.4,,21 ppt
12962579,NWDO,ASHLAND,OH0334612   ,ASHLAND CO WEST HOLMES CAREER CENTER,A,352741,1496,ASHLAND CO WEST HOLMES,GWR001      ,RT,PFL-35532412003,2020/02/19,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 4.7,,70 ppt
12962580,NWDO,ASHLAND,OH0334612   ,ASHLAND CO WEST HOLMES CAREER CENTER,A,352741,1496,ASHLAND CO WEST HOLMES,GWR001      ,RT,PFL-35532412003,2020/02/19,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 4.7,,70 ppt
12962581,NWDO,ASHLAND,OH0334612   ,ASHLAND CO WEST HOLMES CAREER CENTER,A,352741,1496,ASHLAND CO WEST HOLMES,GWR001      ,RT,PFL-35532412003,2020/02/19,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 4.7,,21 ppt
12962582,NWDO,ASHLAND,OH0334612   ,ASHLAND CO WEST HOLMES CAREER CENTER,A,352741,1496,ASHLAND CO WEST HOLMES,GWR001      ,RT,PFL-35532412003,2020/02/19,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 4.7,,140 ppt
12962583,NWDO,ASHLAND,OH0334612   ,ASHLAND CO WEST HOLMES CAREER CENTER,A,352741,1496,ASHLAND CO WEST HOLMES,GWR001      ,RT,PFL-35532412003,2020/02/19,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 4.7,,"2,100 ppt"
12962584,NWDO,ALLEN,OH0201312   ,SPENCERVILLE VILLAGE,A,262320,42971,SPENCERVILLE VILLAGE,EP002       ,RT,PFL-35578371002,2020/09/16,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 25,,21 ppt
12962585,NWDO,ALLEN,OH0201312   ,SPENCERVILLE VILLAGE,A,262320,42971,SPENCERVILLE VILLAGE,EP002       ,RT,PFL-35578371002,2020/09/16,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 5,,70 ppt
12962586,NWDO,ALLEN,OH0201312   ,SPENCERVILLE VILLAGE,A,262320,42971,SPENCERVILLE VILLAGE,EP002       ,RT,PFL-35578371002,2020/09/16,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 5,,70 ppt
12962587,NWDO,ALLEN,OH0201312   ,SPENCERVILLE VILLAGE,A,262320,42971,SPENCERVILLE VILLAGE,EP002       ,RT,PFL-35578371002,2020/09/16,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 5,,21 ppt
12962588,NWDO,ALLEN,OH0201312   ,SPENCERVILLE VILLAGE,A,262320,42971,SPENCERVILLE VILLAGE,EP002       ,RT,PFL-35578371002,2020/09/16,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 5,,140 ppt
12962589,NWDO,ALLEN,OH0201312   ,SPENCERVILLE VILLAGE,A,262320,42971,SPENCERVILLE VILLAGE,EP002       ,RT,PFL-35578371002,2020/09/16,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 5,,"2,100 ppt"
12962590,NWDO,ALLEN,OH0201312   ,SPENCERVILLE VILLAGE,A,262320,42971,SPENCERVILLE VILLAGE,GWR002      ,RT,PFL-35578371003,2020/09/16,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 25,,21 ppt
12962591,NWDO,ALLEN,OH0201312   ,SPENCERVILLE VILLAGE,A,262320,42971,SPENCERVILLE VILLAGE,GWR002      ,RT,PFL-35578371003,2020/09/16,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 5,,70 ppt
